Index,Value
0,3.7308643533219854
1,9.995229900030346
2,6.607678825981187
3,1.9120388499829788
4,1.4478985164420954
5,2.9564355808599907
6,1.9686184170855225
7,8.85233596035832
8,1.9173581199962786
9,6.547544896088576
10,3.5926802091226495
11,4.621309442722686
12,3.404201662122105
13,5.353374995447241
14,4.557957521546272
15,6.8845096732118005
16,5.561262319087733
17,2.048699248770208
18,7.973628587083939
19,9.107218848200716
20,2.8788586255486637
21,5.676794489845176
22,5.724313158075364
23,0.1832636606312199
24,7.4998971483349255
25,5.351600943561218
26,7.004512879357316
27,7.818576173831185
28,0.061282363993891975
29,4.673194891225155
30,2.5359584752688056
31,7.85081744723681
32,6.302884362386084
33,4.3168033788170215
34,0.05938629013887753
35,5.344064882557786
36,6.968043609579858
37,5.982750628743547
38,4.900531003888071
39,5.524636743655691
40,2.2213846479178976
41,9.731495323617628
42,5.0075606765891525
43,4.716552639786116
44,0.38880020796781656
45,4.416212321804648
46,5.476636600848143
47,3.8258511734372935
48,2.2846855334121177
49,5.294317119260835
50,7.3270492264811535
51,5.728371032392855
52,7.38501720828371
53,1.1483754386029288
54,3.7384783951366494
55,4.880385722053219
56,0.7520081898534481
57,8.365922848029742
58,8.417170447841885
59,4.990169194164774
60,7.804750694698978
61,2.0634154934601345
62,7.202468026438098
63,8.105314835641401
64,5.2098968960026495
65,6.543359367194724
66,1.2138085373534546
67,0.10741846806809341
68,0.8608701889294335
69,7.460544636563035
70,8.045150664165437
71,2.1664651445360072
72,7.414589361012442
73,8.906821481299223
74,8.435116388392663
75,1.3290676938077295
76,0.5215281780783132
77,9.539493974080742
78,3.6479774185091483
79,2.9350854489473797
80,3.8988899294134938
81,8.78431191873778
82,7.06859483483723
83,1.7307319359146989
84,8.682675221962116
85,0.8632733385352098
86,8.130757860095478
87,0.5548566000950794
88,4.761655032038336
89,2.0047126541857683
90,7.938626681562335
91,8.38211080560182
92,0.13184270769287854
93,3.8440728581283725
94,8.107341970436488
95,1.089831923191712
96,9.527273814988806
97,2.3087629398325538
98,8.479023773663672
99,4.635423277989106
100,7.312571213964299
101,8.360502628076526
102,5.874070852545153
103,8.155459016967642
104,2.0360744021531074
105,5.753477034447846
106,5.7519886940871245
107,7.505952428830263
108,8.665087019863432
109,5.978554874161328
110,8.00059651823621
111,3.829499300205552
112,6.560692280530274
113,6.718802266785303
114,3.50726514500437
115,4.232208634913909
116,3.595386049520899
117,7.588436886457738
118,4.400049937913131
119,7.881569669294724
